Id2,Geography,Travel time to work (min),Median Income,Percent bachelor's degree or higher,Establishments 2011,Establishments 2016,Pop: 2011,Pop: 2016,% Change,LAT,LON,city,state
47380,"Waco, TX",2296065,46590,21.1,4938.0,5391.0,238564.0,264869.0,-1.668645322717974,31.549333,-97.1466695,Waco,TX
47580,"Warner Robins, GA",1740940,59409,26.8,2280.0,3144.0,143925.0,189753.0,4.591231759181661,32.6130007,-83.624201,Warner Robins,GA
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",106729450,95843,50.2,140830.0,152428.0,5703948.0,6133552.0,0.6544727115018683,39.1289725,-77.3783789,Washington-Arlington-Alexandria,DC-VA-MD-WV
47940,"Waterloo-Cedar Falls, IA",1402945,53877,27.8,4113.0,4095.0,167818.0,170015.0,-1.7242203690226572,42.5348993,-92.4453161,Waterloo-Cedar Falls,IA
48140,"Wausau, WI",1319800,54774,24.7,3371.0,3353.0,134400.0,135603.0,-1.4163776235028473,44.9591352,-89.6301221,Wausau,WI
48300,"Wenatchee, WA",899055,52231,23.4,3044.0,3278.0,112448.0,117665.0,2.912644323711723,47.4234599,-120.3103494,Wenatchee,WA
48540,"Wheeling, WV-OH",1367785,44131,20.3,3432.0,3316.0,147197.0,142982.0,-0.5316683055839115,40.0639616,-80.7209149,Wheeling,WV-OH
48620,"Wichita, KS",6031980,53663,30.7,14404.0,14955.0,625039.0,645447.0,0.5425358304124013,37.68717609999999,-97.33005299999999,Wichita,KS
48660,"Wichita Falls, TX",1109135,44951,23.4,3469.0,3411.0,149024.0,150734.0,-2.7874329011725147,33.9137085,-98.4933873,Wichita Falls,TX
48700,"Williamsport, PA",1073460,49052,21.2,2867.0,2745.0,116747.0,115248.0,-3.0099936196797454,41.2411897,-77.00107860000001,Williamsport,PA
48900,"Wilmington, NC",2569810,50155,36.5,9762.0,8291.0,369685.0,282573.0,11.114127086271317,34.2103894,-77.8868117,Wilmington,NC
49020,"Winchester, VA-WV",1849385,60962,26.6,3026.0,3186.0,130065.0,138878.0,-1.3938869938929923,39.1856597,-78.1633341,Winchester,VA-WV
49180,"Winston-Salem, NC",6691190,47711,26.4,10158.0,13255.0,482025.0,662079.0,-4.998322521701837,36.09985959999999,-80.244216,Winston-Salem,NC
49340,"Worcester, MA-CT",12759685,67763,34.4,17421.0,20110.0,801227.0,935781.0,-1.162820702466694,42.2625932,-71.8022934,Worcester,MA-CT
49420,"Yakima, WA",1877340,48965,15.9,4583.0,4674.0,247141.0,249636.0,0.9662985737519706,46.6020711,-120.5058987,Yakima,WA
49620,"York-Hanover, PA",5602815,62462,24.2,8519.0,8646.0,436770.0,443744.0,-0.10427116314087469,39.8006553,-76.9830358,York-Hanover,PA
49660,"Youngstown-Warren-Boardman, OH-PA",4916060,44981,22.5,12650.0,12261.0,562739.0,544746.0,0.1263377213957496,41.291972,-80.54384499999999,Youngstown-Warren-Boardman,OH-PA
49700,"Yuba City, CA",1888955,50775,17.2,2475.0,2524.0,167497.0,171926.0,-0.6473120864661398,39.1404477,-121.6169108,Yuba City,CA
49740,"Yuma, AZ",1520700,43518,15.4,2897.0,2963.0,200870.0,205631.0,-0.08984141586823634,32.6926512,-114.6276916,Yuma,AZ
