,Id2,city_state,agg_commute_mins,median_household_inc,bach_or_higher_percent,estab_2011,estab_2016,pop_2011,pop_2016,biz_growth_Y,lat,lng,city,state,tax_rank,corp_tax_rank,income_tax_rank,sales_tax_rank,property_tax_rank,unemployment_tax_rank
214,39380,"Pueblo, CO",1388260,44677,21.2,3093.0,3086.0,160545.0,165123.0,-2.9925215845768847,38.2544472,-104.60914090000001,Pueblo,CO,18,16,14,38,12,40
215,14540,"Bowling Green, KY",1690700,45649,26.5,2889.0,3538.0,128341.0,174560.0,-9.960935851688138,36.9685219,-86.48080429999999,Bowling Green,KY,23,27,17,14,35,47
216,21060,"Elizabethtown-Fort Knox, KY",1547060,51936,22.0,2510.0,2908.0,120373.0,150447.0,-7.302881768240341,37.88366370000001,-85.9652686,Elizabethtown-Fort Knox,KY,23,27,17,14,35,47
217,30460,"Lexington-Fayette, KY",5177110,53769,37.2,11644.0,12526.0,479244.0,506751.0,1.7354430055978471,38.040583700000006,-84.50371640000002,Lexington-Fayette,KY,23,27,17,14,35,47
218,36980,"Owensboro, KY",1035670,52328,21.1,2553.0,2630.0,118118.0,119706.0,1.6494655279242616,37.771907399999996,-87.1111676,Owensboro,KY,23,27,17,14,35,47
219,14860,"Bridgeport-Stamford-Norwalk, CT",13268820,90123,46.6,26725.0,27134.0,925899.0,944177.0,-0.43509012788328577,41.2559654,-73.37086959999998,Bridgeport-Stamford-Norwalk,CT,47,29,43,30,50,23
220,25540,"Hartford-West Hartford-East Hartford, CT",14035560,72559,38.2,29007.0,29461.0,1213255.0,1206836.0,2.1053509029528357,41.76580429999999,-72.6733723,Hartford-West Hartford-East Hartford,CT,47,29,43,30,50,23
221,35300,"New Haven-Milford, CT",9954740,66176,35.1,19261.0,19597.0,861113.0,856875.0,2.2476734811534245,41.2306979,-73.064036,New Haven-Milford,CT,47,29,43,30,50,23
222,35980,"Norwich-New London, CT",3301015,70699,32.5,5675.0,5865.0,273502.0,269801.0,4.765695884813264,41.5242649,-72.07591049999998,Norwich-New London,CT,47,29,43,30,50,23
223,15540,"Burlington-South Burlington, VT",2450070,66367,43.2,6595.0,6879.0,213624.0,217411.0,2.4894207753844944,44.475882500000004,-73.21207199999998,Burlington-South Burlington,VT,41,38,37,15,49,20
224,15980,"Cape Coral-Fort Myers, FL",7568490,52909,28.3,15629.0,18143.0,631330.0,722336.0,1.460051035334375,26.640628000000003,-81.87230840000001,Cape Coral-Fort Myers,FL,4,6,1,22,11,2
225,19660,"Deltona-Daytona Beach-Ormond Beach, FL",6312005,46090,23.9,11693.0,14674.0,494804.0,637674.0,-2.6228505669318216,29.039621899999997,-81.2518833,Deltona-Daytona Beach-Ormond Beach,FL,4,6,1,22,11,2
226,23540,"Gainesville, FL",2729115,45279,37.5,5929.0,6343.0,265246.0,281796.0,0.6994921266422508,29.6516344,-82.32482619999998,Gainesville,FL,4,6,1,22,11,2
227,27260,"Jacksonville, FL",18187500,56840,30.7,33538.0,37310.0,1358593.0,1478212.0,2.244684166347352,30.3321838,-81.65565099999998,Jacksonville,FL,4,6,1,22,11,2
228,29460,"Lakeland-Winter Haven, FL",6667045,46355,20.1,10718.0,11530.0,609492.0,666149.0,-1.5734678604919248,28.0222435,-81.7328567,Lakeland-Winter Haven,FL,4,6,1,22,11,2
229,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",79968880,51362,30.5,172255.0,191720.0,5670125.0,6066387.0,4.029881619037736,26.3013917,-80.6326916,Miami-Fort Lauderdale-West Palm Beach,FL,4,6,1,22,11,2
230,34940,"Naples-Immokalee-Marco Island, FL",3415685,61228,33.9,9888.0,11698.0,328134.0,365136.0,6.3162716894845925,26.175453,-81.798949,Naples-Immokalee-Marco Island,FL,4,6,1,22,11,2
231,36100,"Ocala, FL",2891950,39383,18.0,6638.0,7004.0,332529.0,349020.0,0.5282451519356887,29.187198600000002,-82.14009229999998,Ocala,FL,4,6,1,22,11,2
232,36740,"Orlando-Kissimmee-Sanford, FL",31186230,52385,30.9,54922.0,63244.0,2171360.0,2441257.0,2.421543821241898,28.5828156,-81.33994140000001,Orlando-Kissimmee-Sanford,FL,4,6,1,22,11,2
233,37340,"Palm Bay-Melbourne-Titusville, FL",5553755,51184,29.3,12746.0,13927.0,543566.0,579130.0,2.555718713095095,28.263933,-80.7214417,Palm Bay-Melbourne-Titusville,FL,4,6,1,22,11,2
234,37460,"Panama City, FL",1929810,47548,22.8,4374.0,4913.0,169856.0,200893.0,-5.030517022245566,30.158812899999997,-85.6602058,Panama City,FL,4,6,1,22,11,2
235,37860,"Pensacola-Ferry Pass-Brent, FL",4818015,50496,27.1,8961.0,9435.0,453218.0,485684.0,-1.7485925171547283,30.468807899999998,-87.23608259999999,Pensacola-Ferry Pass-Brent,FL,4,6,1,22,11,2
236,38940,"Port St. Lucie, FL",4917720,48746,24.1,9748.0,11002.0,427874.0,465208.0,3.806570359917964,27.273049199999996,-80.3582261,Port St. Lucie,FL,4,6,1,22,11,2
237,39460,"Punta Gorda, FL",1301990,44200,23.7,3542.0,3883.0,160511.0,178465.0,-1.4014387357473768,26.9297836,-82.0453664,Punta Gorda,FL,4,6,1,22,11,2
238,42680,"Sebastian-Vero Beach, FL",1047775,49072,28.7,3840.0,4249.0,138894.0,151563.0,1.4018314578756002,27.6386434,-80.39727359999998,Sebastian-Vero Beach,FL,4,6,1,22,11,2
239,45220,"Tallahassee, FL",3879000,50654,39.3,8540.0,8943.0,370292.0,380110.0,2.0141450487308137,30.4382559,-84.28073289999998,Tallahassee,FL,4,6,1,22,11,2
240,45300,"Tampa-St. Petersburg-Clearwater, FL",34397625,51115,28.8,69369.0,77204.0,2824724.0,3032171.0,3.6804081690524972,28.274347,-82.38857829999998,Tampa-St. Petersburg-Clearwater,FL,4,6,1,22,11,2
241,16180,"Carson City, NV",429360,52196,20.4,2067.0,1916.0,55439.0,54742.0,-6.125041994503058,39.1637984,-119.76740339999999,Carson City,NV,9,33,5,40,8,45
242,29820,"Las Vegas-Henderson-Paradise, NV",23560655,54384,23.3,39343.0,44564.0,1969975.0,2155664.0,3.5133439490025813,36.079561299999995,-115.094045,Las Vegas-Henderson-Paradise,NV,9,33,5,40,8,45
243,39900,"Reno, NV",4602465,58056,29.2,11629.0,12258.0,429767.0,457387.0,-0.9563824488485204,39.529632899999996,-119.8138027,Reno,NV,9,33,5,40,8,45
244,16220,"Casper, WY",652605,59474,23.5,2902.0,2953.0,76366.0,81039.0,-4.110289224486112,42.8500769,-106.32517490000001,Casper,WY,1,1,1,6,38,36
245,16940,"Cheyenne, WY",712180,62221,27.3,2780.0,3234.0,92680.0,98136.0,9.863363894357736,41.1399814,-104.8202462,Cheyenne,WY,1,1,1,6,38,36
246,16580,"Champaign-Urbana, IL",2136905,50564,42.3,4825.0,4858.0,232050.0,239872.0,-2.599270560879434,40.116420399999996,-88.2433829,Champaign-Urbana,IL,36,39,13,36,45,42
247,19180,"Danville, IL",534060,45481,14.0,1492.0,1411.0,81509.0,78111.0,-1.314906301450502,40.124481,-87.6300207,Danville,IL,36,39,13,36,45,42
248,19500,"Decatur, IL",765370,46198,21.6,2478.0,2441.0,110730.0,106550.0,2.3713247199475527,39.84031470000001,-88.9548001,Decatur,IL,36,39,13,36,45,42
249,28100,"Kankakee, IL",1157005,54911,19.1,2361.0,2325.0,113698.0,110008.0,1.7783782295329431,41.1200325,-87.8611531,Kankakee,IL,36,39,13,36,45,42
250,37900,"Peoria, IL",3372065,57090,27.7,8549.0,8403.0,380961.0,376044.0,-0.4225728611666717,40.6936488,-89.58898640000001,Peoria,IL,36,39,13,36,45,42
251,40420,"Rockford, IL",3420510,50324,21.8,7388.0,7290.0,348360.0,339376.0,1.2856213806787409,42.2711311,-89.09399520000001,Rockford,IL,36,39,13,36,45,42
252,44100,"Springfield, IL",1881355,53798,34.9,5312.0,5181.0,211282.0,208892.0,-1.3501981640250338,39.78172130000001,-89.6501481,Springfield,IL,36,39,13,36,45,42
