GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",49957845
310M300US20020,20020,"Dothan, AL Metro Area",1345475
310M300US20100,20100,"Dover, DE Metro Area",1975260
310M300US20220,20220,"Dubuque, IA Metro Area",786085
310M300US20260,20260,"Duluth, MN-WI Metro Area",2627350
310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",6008470
310M300US20700,20700,"East Stroudsburg, PA Metro Area",2812190
310M300US20740,20740,"Eau Claire, WI Metro Area",1585765
310M300US20940,20940,"El Centro, CA Metro Area",1169360
310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",1606170
310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",1733860
310M300US21300,21300,"Elmira, NY Metro Area",708955
310M300US21340,21340,"El Paso, TX Metro Area",7941520
310M300US21420,21420,"Enid, OK Metro Area",458405
310M300US21500,21500,"Erie, PA Metro Area",2326645
310M300US21660,21660,"Eugene, OR Metro Area",3100490
310M300US21780,21780,"Evansville, IN-KY Metro Area",3028755
310M300US21820,21820,"Fairbanks, AK Metro Area",956505
310M300US22020,22020,"Fargo, ND-MN Metro Area",2113525
310M300US22140,22140,"Farmington, NM Metro Area",1175170
310M300US22180,22180,"Fayetteville, NC Metro Area",3520180
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",4882790
310M300US22380,22380,"Flagstaff, AZ Metro Area",1121650
310M300US22420,22420,"Flint, MI Metro Area",4111495
310M300US22500,22500,"Florence, SC Metro Area",1900765
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",1422170
310M300US22540,22540,"Fond du Lac, WI Metro Area",1021760
310M300US22660,22660,"Fort Collins, CO Metro Area",3572355
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",2390565
310M300US23060,23060,"Fort Wayne, IN Metro Area",4188750
310M300US23420,23420,"Fresno, CA Metro Area",8136685
310M300US23460,23460,"Gadsden, AL Metro Area",927520
310M300US23540,23540,"Gainesville, FL Metro Area",2598540
310M300US23580,23580,"Gainesville, GA Metro Area",2231515
310M300US23900,23900,"Gettysburg, PA Metro Area",1313810
310M300US24020,24020,"Glens Falls, NY Metro Area",1401020
310M300US24140,24140,"Goldsboro, NC Metro Area",1133780
310M300US24220,24220,"Grand Forks, ND-MN Metro Area",803005
310M300US24260,24260,"Grand Island, NE Metro Area",739955
310M300US24300,24300,"Grand Junction, CO Metro Area",1281460
310M300US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",10607650
310M300US24420,24420,"Grants Pass, OR Metro Area",562960
310M300US24500,24500,"Great Falls, MT Metro Area",574930
310M300US24540,24540,"Greeley, CO Metro Area",3453875
310M300US24580,24580,"Green Bay, WI Metro Area",3123860
310M300US24660,24660,"Greensboro-High Point, NC Metro Area",7308060
310M300US24780,24780,"Greenville, NC Metro Area",1610335
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",8644250
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",3942480
310M300US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",3390650
310M300US25220,25220,"Hammond, LA Metro Area",1668300
310M300US25260,25260,"Hanford-Corcoran, CA Metro Area",1183550
310M300US25420,25420,"Harrisburg-Carlisle, PA Metro Area",6083375
310M300US25500,25500,"Harrisonburg, VA Metro Area",1164425
310M300US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",13722030
310M300US25620,25620,"Hattiesburg, MS Metro Area",1491065
310M300US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",3461900
310M300US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",1987585
310M300US25980,25980,"Hinesville, GA Metro Area",776370
310M300US26140,26140,"Homosassa Springs, FL Metro Area",1049610
310M300US26300,26300,"Hot Springs, AR Metro Area",813860
310M300US26380,26380,"Houma-Thibodaux, LA Metro Area",2173845
310M300US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",88705290
310M300US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",3228800
310M300US26620,26620,"Huntsville, AL Metro Area",4414180
310M300US26820,26820,"Idaho Falls, ID Metro Area",1170605
310M300US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",22821180
310M300US26980,26980,"Iowa City, IA Metro Area",1663980
310M300US27060,27060,"Ithaca, NY Metro Area",854735
310M300US27100,27100,"Jackson, MI Metro Area",1497820
310M300US27140,27140,"Jackson, MS Metro Area",6044470
310M300US27180,27180,"Jackson, TN Metro Area",1063935
310M300US27260,27260,"Jacksonville, FL Metro Area",16864950
310M300US27340,27340,"Jacksonville, NC Metro Area",1982040
310M300US27500,27500,"Janesville-Beloit, WI Metro Area",1678995
310M300US27620,27620,"Jefferson City, MO Metro Area",1415745
310M300US27740,27740,"Johnson City, TN Metro Area",1795040
310M300US27780,27780,"Johnstown, PA Metro Area",1310735
310M300US27860,27860,"Jonesboro, AR Metro Area",1061750
310M300US27900,27900,"Joplin, MO Metro Area",1500100
310M300US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",1642730
310M300US28020,28020,"Kalamazoo-Portage, MI Metro Area",3233420
310M300US28100,28100,"Kankakee, IL Metro Area",1133365
310M300US28140,28140,"Kansas City, MO-KS Metro Area",22678375
310M300US28420,28420,"Kennewick-Richland, WA Metro Area",2542010
310M300US28660,28660,"Killeen-Temple, TX Metro Area",3886345
310M300US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2783600
310M300US28740,28740,"Kingston, NY Metro Area",2230395
310M300US28940,28940,"Knoxville, TN Metro Area",8744130
310M300US29020,29020,"Kokomo, IN Metro Area",693505
310M300US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",1282045
310M300US29180,29180,"Lafayette, LA Metro Area",5413590
310M300US29200,29200,"Lafayette-West Lafayette, IN Metro Area",1870285
310M300US29340,29340,"Lake Charles, LA Metro Area",1885080
310M300US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",1348735
310M300US29460,29460,"Lakeland-Winter Haven, FL Metro Area",6446980
310M300US29540,29540,"Lancaster, PA Metro Area",5766535
310M300US29620,29620,"Lansing-East Lansing, MI Metro Area",4524695
310M300US29700,29700,"Laredo, TX Metro Area",2132550
310M300US29740,29740,"Las Cruces, NM Metro Area",1764300
310M300US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",22833325
310M300US29940,29940,"Lawrence, KS Metro Area",1240665
310M300US30020,30020,"Lawton, OK Metro Area",898455
310M300US30140,30140,"Lebanon, PA Metro Area",1437680
310M300US30300,30300,"Lewiston, ID-WA Metro Area",423165
310M300US30340,30340,"Lewiston-Auburn, ME Metro Area",1208625
310M300US30460,30460,"Lexington-Fayette, KY Metro Area",5055370
310M300US30620,30620,"Lima, OH Metro Area",875700
310M300US30700,30700,"Lincoln, NE Metro Area",3173975
310M300US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",7480615
